path,key,english,japanese
Audio/english/AudioFile/0/0/00001f28,english,Fucking cut you! Cut you!
Audio/english/AudioFile/0/0/00090df8,english,Get back!,下がれ！
Audio/english/AudioFile/0/0/000a1e13,english,Team B on deck. Engaging,チームBはデッキにいる。 戦闘中。
Audio/english/AudioFile/0/0/000bc028,english,Break his fuckin' legs.,奴の足を狙え。
Audio/english/AudioFile/0/0/000ea1fb,english,Green may've created these things. But I'll finish them.,グリーンがこいつらを創りだしたんだろう。 だが、俺が始末をつける。
Audio/english/AudioFile/0/0/00102158,english,Acknowledged. Will escalate. As marked.
Audio/english/AudioFile/0/0/001055ec,english,Is that the same guy?,同じ男か？
Audio/english/AudioFile/0/0/0015411d,english,Noooooo!,うわああああ！
Audio/english/AudioFile/0/0/001673ed,english,Down! Down!,やれ！ やれ！
Audio/english/AudioFile/0/0/001badb6,english,*argh*
Audio/english/AudioFile/0/0/001bb855,english,What?  They’re using my DNA to track me down? That must be why they took Dana… But I know were she is.  Time to get her back!,なに？ 奴らは俺のDNAを使って追跡している？ それがディナが連れ去れれた理由に違いない……。 だが俺は彼女がどこにいるか知っている。 彼女を取り戻すぞ！
Audio/english/AudioFile/0/0/0027a3ae,english,It's out of control!,制御できない！
Audio/english/AudioFile/0/0/0029763d,english,"All Teams, we're going to have to gang up on it, over.",全隊、一斉に行動する、どうぞ。
Audio/english/AudioFile/0/0/002d8139,english,Should we do it? What do we do?,そうすべきなのか？ 何をすべきなんだ？
Audio/english/AudioFile/0/0/002ff460,english,We have a confirmed kill on primary target.,第一目標の殺害を確認した。
Audio/english/AudioFile/0/0/00332b77,english,There you are! Come to poppa.
Audio/english/AudioFile/0/0/003d93c8,english,I am justified to shoot.,正当防衛だ。
Audio/english/AudioFile/0/0/0042e65e,english,"Haul ass, motherfuckers.",さっさと出て行け、くそ野郎。
Audio/english/AudioFile/0/0/004a0bdd,english,"They've got the virus, get back!",そいつらは感染してる、戻れ！
Audio/english/AudioFile/0/0/004c5829,english,"Jesus, um, Dispatch -- I need help. MVA! MVA!",ちくしょう ―― 派遣要請、支援求む！ MVA！ MVA！
Audio/english/AudioFile/0/0/004cab2f,english,"All units, I am ordered to remind you to check in your viral monitoring badges at the end of this assignment.",全ユニットに命じる。 この任務の後で各自のウイルスモニターの印をチェックするのを忘れるな。
Audio/english/AudioFile/0/0/004cae7c,english,"Facing heavy resistance. Cannot respond, over.",激しい抵抗にあっている。 応答できない、どうぞ。
